Login Date,IP Address,User Agent,Login Type
Wed Dec 06 14:17:12 UTC 2023,163.116.157.65,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Login
Mon Apr 29 11:25:30 UTC 2024,163.116.130.93,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",Login
Mon Jun 17 01:35:47 UTC 2024,129.222.195.36,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",Login
Thu Aug 08 00:43:23 UTC 2024,129.222.196.135,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Login
Sun Nov 17 14:25:24 UTC 2024,129.222.193.181,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Login
Wed May 28 01:12:38 UTC 2025,129.222.195.4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15",Login
Thu May 29 13:17:16 UTC 2025,163.116.130.18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",Login
Wed Jun 11 01:22:22 UTC 2025,129.222.194.166,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15",Login
Fri Aug 01 21:34:17 UTC 2025,2a09:bac5:176b:db9:0:0:15e:39,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Login
Fri Aug 01 21:35:59 UTC 2025,2a09:bac5:176b:db9:0:0:15e:39,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Login
Fri Aug 08 22:06:58 UTC 2025,135.129.113.201,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",Login
Fri Sep 19 23:04:08 UTC 2025,135.129.113.31,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.0 Safari/605.1.15",Login
Mon Sep 22 11:39:17 UTC 2025,2605:b100:350:e040:1002:5c01:7956:a7b5,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.31.5211 iPhone:26.0,Login
Sun Oct 05 14:44:32 UTC 2025,72.142.2.242,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.31.5644 iPhone:26.0.1,Login
Tue Oct 07 23:48:56 UTC 2025,173.206.100.162,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",Login
Tue Oct 21 22:24:19 UTC 2025,216.58.95.9,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Login
