Company Name,Title,Description,Location,Started On,Finished On
RBC,"Director, Emergent Software Development",Responsible for helping our engineering community in RBC/digital thrive and evolve into emerging practices and techniques to achieve better outcomes for our customers and partners.,"Toronto, Ontario, Canada",Apr 2025,
Mojility Inc.,President / CEO,"Mojility is the umbrella under which we provide our software team coaching and training services, and which acts as a foundry for any interesting software projects we undertake, including our Primr product launched in 2015, our Continuous Coaching product launched in 2017, and a few select mobile and web-based technologies for third-parties.","Ontario, Canada",Jan 2002,
RBC,"Director, Digital Agile Coaching Practice",,"Toronto, Ontario, Canada",Jan 2021,Apr 2025
Coding Culture by Mojility,Founder,"I launched my Coding Culture program in 2015, designed to help organizations build a healthy internal software development culture.","Toronto, Canada Area",Jan 2015,Jan 2021
Canadian Mental Health Association HKPR,Education and Support Worker,"I worked part-time supporting the Gender Journeys program out of the CMHA Haliburton, Kawartha, Pine-Ridge. This is part of my calling to support the transgender community and our allies. I helped with writing, program development, drop-in and closed group programming.","Peterborough, ON",Oct 2014,Mar 2017
Ladies Learning Code,"Chapter Lead, Durham Region","Ladies Learning Code promotes digital literacy for women and girls. After years of doing code retreats and hiring software developers in Durham and finding almost exclusively male applicants and attendees, I started the Durham chapter of Ladies Learning Code to raise awareness and improve diversity and equity in this field.","Oshawa, ON",Jul 2015,Jul 2016
Gender Journeys Durham,"Facilitator, Community Coordinator","I am the community leader for Gender Journeys Durham - modelled after the successful Gender Journeys program out of the Sherbourne Health Centre in Toronto. We've been running a couple groups each year in Durham since 2013, starting at the Oshawa Community Health Centre, and more recently through CMHA Durham and PFLAG Canada Durham Region. In 2015 we launched the Parents' group lead by Roisin McIlwee at the OCHC, and Kaitlin Dean has taken the lead at CMHA Durham.",CMHA Durham / Oshawa Community Health Centre,Jun 2013,May 2016
ManaCrowd,CTO,"Manacrowd is poised to turn the crowd-funded gaming industry on its ear - it is a start-up company and platform that helps indy game developers get their games funded, and provides funders a unique royalty-based return on their investment rather than unrelated swag. It is truly a platform built for people who love gaming, and people who love making games.",Toronto,Mar 2014,Sep 2015
PFLAG Canada Durham Region,Vice President,"I do a variety of volunteer work with PFLAG Canada Durham Region helping to organize community initiatives like Trans Day of Remembrance and the Gender Neutral Bathroom Challenge. I help manage the website, I help with peer to peer meetings, facilitation for the Oshawa sharing meetings, and a variety of different efforts throughout the year.",,Jun 2010,Apr 2015
Three Wise Men Inc.,President / CEO,"Three Wise Men Inc. develops custom applications for mobile, desktop and the web. We have a strong core of local developers and complete dozens of successful projects each year.","Oshawa, ON",Jan 2002,Dec 2013
dabax Inc.,Director of Technology,"At dabax I lead a small team of developers to create a Portal system focused on the communications and publishing industry. I designed and lead implementation of the 6-8 task-focused modules (article management, user forums, surveys, movie listings etc) as well as the overall system architecture. Our core customer was Metroland Printing and Publishing, and at its peak our system saw about 20 million transactions per month.",,Mar 2000,Feb 2002
Dynamix Professional Video Systems Inc.,Pre-Sales Technical Consultant,"My love for video and technology came together when I started working with Dynamix, whose customers were doing broadcast and professional video production. This was near the beginning of computer based video and film editing era, and the market saw a lot of growth. Our core product lines were Sony and Avid. We also identified a strong segment in video over IP and got involved with Silicon Graphics, Optivision, and a variety of vendors to bring the beginning of the Digital Cable and Television On Demand era into existence. Our customers were most of the major Telcos Ontario and eastward, and we were involved with several R&D projects based on understanding how video over IP could work successfully.",,Mar 1996,Mar 2000
Wonder Computers,"Head, Information Technology Division","I joined Wonder Computers when Commodore Canada was almost completely shut down. I was still eager to continue working with the computer platform I'd grown fond of. I started this division to do many things, we launched an Internet Access service geared for Amiga computers, where my division assembled and distributed the software bundles for our customers and ran the service itself. We did training, and in 1995 ran the last successful World of Amiga trade-show at the Toronto International Center with my divisional staff of 5 where we attracted nearly 10,000 attendees and a hundred exhibitors from across the world.",,Mar 1994,Feb 1995
Commodore Business Machines,Amiga Product Manager,"I was exposed to so many tremendous things at Commodore, I travelled to support various trade-shows in Canada and the US, helped support some very interesting customer sites including the Ontario Science Center. I also was mentored by some great people, and as my first ""corporate job"", I couldn't have received a better opportunity to stretch out and explore what I wanted to do with my life.",,Nov 1991,Mar 1994
